007.qq.com	61.129.7.119
sports.qq.com	61.151.166.139, 61.151.166.146
spider.qq.com	101.227.160.45, 61.151.168.159
space.qq.com	61.151.166.139, 61.151.166.146
sp.qq.com	183.61.51.35
ssl.qq.com	61.129.7.120
ss.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
sport.qq.com	180.163.26.39
sso.qq.com	140.143.212.58
star.qq.com	180.163.26.39
start.qq.com	139.199.92.171
ssp.qq.com	183.3.226.47
stars.qq.com	180.163.26.39
stock.qq.com	61.151.166.139, 61.151.166.146
story.qq.com	61.129.7.46
sou.qq.com	61.129.7.26
streamer.qq.com	115.231.37.204, 115.231.37.249
store.qq.com	180.97.146.243
study.qq.com	101.227.131.64
studio.qq.com	180.97.146.243
style.qq.com	180.97.146.243
supplier.qq.com	183.3.226.47
support.qq.com	180.163.25.47
sy.qq.com	115.231.37.204, 115.231.37.249
sz.qq.com	61.151.166.139, 61.151.166.146
t.qq.com	101.89.15.177
t7.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
t3.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
tablet.qq.com	61.151.166.139, 61.151.166.146
ta.qq.com	14.17.41.214
task.qq.com	101.227.162.114
talk.qq.com	61.151.168.204
tcs.qq.com	101.227.143.47
td.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
tb.qq.com	183.61.32.181
tech.qq.com	61.151.166.139, 61.151.166.146
te.qq.com	62.234.197.52
tea.qq.com	14.215.138.56
super.qq.com	101.227.130.77
tcc.qq.com	101.226.211.183, 101.226.90.171
tel.qq.com	61.151.166.139, 61.151.166.146
telecom.qq.com	61.151.166.139, 61.151.166.146
test.qq.com	183.3.226.41
th.qq.com	101.227.131.64
ti.qq.com	101.226.211.141
time.qq.com	61.151.166.139, 61.151.166.146
tg.qq.com	115.231.37.204, 115.231.37.249
tim.qq.com	61.129.7.28
tips.qq.com	101.226.103.91
ting.qq.com	106.39.246.41, 106.39.246.43, 220.181.124.36, 220.181.124.50, 36.110.147.35, 36.110.147.36, 36.110.171.40, 36.110.171.43
tj.qq.com	61.151.166.139, 61.151.166.146
tmp.qq.com	101.226.233.177
tms.qq.com	61.151.168.204
topic.qq.com	101.226.103.89
touch.qq.com	61.151.168.204
tp.qq.com	183.3.225.113
trace.qq.com	101.226.103.86, 101.226.211.216, 101.226.212.144, 101.91.63.145
tq.qq.com	101.227.131.64
tourism.qq.com	139.199.92.101
translate.qq.com	101.227.131.64
tps.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
trans.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
try.qq.com	183.61.49.188
ts.qq.com	101.226.233.180
tt.qq.com	101.226.211.232, 101.226.211.233
tu.qq.com	180.163.21.37
tuan.qq.com	183.61.46.161
ty.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
u.qq.com	180.163.26.39
ue.qq.com	183.3.234.245
ug.qq.com	101.227.160.45, 61.151.168.159
ui.qq.com	109.244.192.218
un.qq.com	180.101.153.104, 180.101.153.115, 180.101.217.115, 180.101.217.117, 180.101.217.119, 180.101.217.205, 180.101.217.232, 180.101.217.236, 180.96.1.179, 180.96.1.91, 180.97.146.116, 180.97.146.207, 180.97.146.98, 221.228.67.182, 222.186.49.82
unicom.qq.com	61.151.166.139, 61.151.166.146
uni.qq.com	183.57.48.90
union.qq.com	183.57.48.88
tts.qq.com	180.163.21.171
transfer.qq.com	101.227.131.64
ts1.qq.com	59.36.120.122
up.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
tv.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
ur.qq.com	180.163.25.47
urban.qq.com	14.17.41.230
tw.qq.com	103.7.28.160
users.qq.com	101.226.233.189
v.qq.com	180.153.100.249, 180.153.105.148, 180.153.105.151, 180.153.105.158, 180.153.105.166, 180.153.105.172, 180.153.105.254
v5.qq.com	61.151.224.32
verify.qq.com	61.129.7.74
video.qq.com	14.17.52.192
vfs.qq.com	183.3.234.145
victor.qq.com	101.226.90.143
vip.qq.com	183.61.51.29
vip2.qq.com	183.61.49.188
vm.qq.com	101.226.233.186
vip1.qq.com	183.61.49.188
volunteer.qq.com	14.17.32.249
vp.qq.com	101.227.162.111
vs.qq.com	61.151.166.139, 61.151.166.146
w.qq.com	183.3.226.29
wa.qq.com	180.153.93.16
w8.qq.com	61.151.166.139, 61.151.166.146
wan.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
wallet.qq.com	180.163.26.30, 61.151.206.109
wap.qq.com	61.151.166.139, 61.151.166.146
wc.qq.com	61.151.166.139, 61.151.166.146
wb.qq.com	59.36.121.160
we.qq.com	59.37.97.124
web2.qq.com	180.163.21.61
web3.qq.com	180.163.21.61
web.qq.com	180.163.21.61
wd.qq.com	101.226.211.232, 101.226.211.233
webapp.qq.com	180.163.26.39
weather.qq.com	61.151.166.139, 61.151.166.146
webdev.qq.com	61.151.166.139, 61.151.166.146
webproxy.qq.com	14.17.32.228, 183.57.48.12
weixin.qq.com	101.227.169.159, 61.151.183.16, 61.151.224.41
weibo.qq.com	123.151.190.184
wei.qq.com	183.3.235.231
wh.qq.com	61.151.186.118
win.qq.com	180.163.25.122
wifi.qq.com	101.227.131.64
widget.qq.com	180.163.21.61
wk.qq.com	61.151.166.139, 61.151.166.146
wj.qq.com	180.163.25.47
world.qq.com	61.151.166.139, 61.151.166.146
wp.qq.com	14.215.158.24
wt.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
ws.qq.com	220.194.95.185
ww2.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
www.qq.com	61.151.166.139, 61.151.166.146
wx2.qq.com	113.96.233.139, 14.17.43.34
wx.qq.com	101.226.76.164, 101.227.160.102
xc.qq.com	101.226.211.232, 101.226.211.233
wy.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
xd.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
xg.qq.com	61.129.7.48
xh.qq.com	101.226.76.186
xj.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
xian.qq.com	61.151.166.139, 61.151.166.146
xin.qq.com	61.151.168.204
xt.qq.com	61.151.224.32
xy.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
y.qq.com	180.153.100.249, 180.153.105.148, 180.153.105.151, 180.153.105.158, 180.153.105.166, 180.153.105.172, 180.153.105.254
xx.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
yd.qq.com	101.226.76.145, 61.151.224.47
yb.qq.com	101.227.131.64
yc.qq.com	101.226.103.89
yl.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
yj.qq.com	61.151.168.204
yoyo.qq.com	58.49.137.107, 58.49.159.92, 59.63.235.72
ym.qq.com	115.231.37.204, 115.231.37.249
xl.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
yu.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
yn.qq.com	180.163.26.39
yun.qq.com	119.29.42.201, 119.29.47.192
z.qq.com	180.97.146.243
yx.qq.com	101.226.211.232, 101.226.211.233
yw.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
yy.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
zc.qq.com	180.163.21.171
zd.qq.com	101.227.131.64
zb.qq.com	180.97.146.243
ye.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
yule.qq.com	180.163.26.39
zebra.qq.com	180.163.26.39
zf.qq.com	61.151.186.111
zg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
zl.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
zk.qq.com	115.231.37.204, 115.231.37.249
zj.qq.com	61.151.166.139, 61.151.166.146
zt.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
zw.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
zx.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
0.114.qq.com	183.3.225.108
0.act.qq.com	101.226.211.171
0.bz.qq.com	61.151.166.139, 61.151.166.146
0.4g.qq.com	61.151.168.204
0.b.qq.com	183.61.38.179
0.3g.qq.com	61.151.168.204
0.docs.qq.com	61.129.7.26
0.exmail.qq.com	14.17.42.118, 59.37.96.29
0.fm.qq.com	101.226.76.191
0.ke.qq.com	14.17.41.213
0.jy.qq.com	61.151.168.204
0.lady.qq.com	180.163.26.39
0.m.qq.com	101.227.131.64
0.mail.qq.com	14.17.19.106
0.photo.qq.com	14.18.245.169
0.zg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
1.114.qq.com	183.3.225.108
0.z.qq.com	61.151.168.204
1.3g.qq.com	61.151.168.204
1.4g.qq.com	61.151.168.204
1.bz.qq.com	61.151.166.139, 61.151.166.146
1.docs.qq.com	61.129.7.26
1.act.qq.com	101.226.211.171
1.exmail.qq.com	14.17.42.118, 59.37.96.29
1.fm.qq.com	101.226.76.191
1.game.qq.com	61.151.224.51
1.ke.qq.com	14.17.41.213
1.jy.qq.com	61.151.168.204
1.lady.qq.com	180.163.26.39
1.m.qq.com	101.227.131.64
1.mail.qq.com	14.17.19.106
1.photo.qq.com	14.18.245.169
1.z.qq.com	61.151.168.204
2.4g.qq.com	61.151.168.204
1.zg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
2.114.qq.com	183.3.225.108
2.3g.qq.com	61.151.168.204
2.act.qq.com	101.226.211.171
2.b.qq.com	183.61.38.179
2.bz.qq.com	61.151.166.139, 61.151.166.146
2.docs.qq.com	61.129.7.26
2.exmail.qq.com	14.17.42.118, 59.37.96.29
2.fm.qq.com	101.226.76.191
2.ke.qq.com	14.17.41.213
2.lady.qq.com	180.163.26.39
2.jy.qq.com	61.151.168.204
2.m.qq.com	101.227.131.64
2.mail.qq.com	14.17.19.106
2.photo.qq.com	14.18.245.169
2.z.qq.com	61.151.168.204
3.114.qq.com	183.3.225.108
3.4g.qq.com	61.151.168.204
3.3g.qq.com	61.151.168.204
3.act.qq.com	101.226.211.171
3.b.qq.com	183.61.38.179
2.zg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
3.bz.qq.com	61.151.166.139, 61.151.166.146
3.docs.qq.com	61.129.7.26
3.exmail.qq.com	14.17.42.118, 59.37.96.29
3.fm.qq.com	101.226.76.191
3.ke.qq.com	14.17.41.213
3.lady.qq.com	180.163.26.39
3.m.qq.com	101.227.131.64
3.mail.qq.com	14.17.19.106
3.jy.qq.com	61.151.168.204
3.photo.qq.com	14.18.245.169
3.zg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
3.z.qq.com	61.151.168.204
3g.4g.qq.com	61.151.168.204
3g.3g.qq.com	61.151.168.204
3g.114.qq.com	183.3.225.108
3g.act.qq.com	101.226.211.171
3g.auto.qq.com	180.163.26.39
3g.b.qq.com	183.61.38.179
3g.cb.qq.com	61.151.206.31
3g.bz.qq.com	61.151.166.139, 61.151.166.146
3g.docs.qq.com	61.129.7.26
3g.exp.qq.com	59.37.97.23
3g.exmail.qq.com	14.17.42.118, 59.37.96.29
3g.fm.qq.com	101.226.76.191
3g.l.qq.com	180.163.25.110
3g.ke.qq.com	14.17.41.213
3g.lady.qq.com	180.163.26.39
3g.jy.qq.com	61.151.168.204
3g.m.qq.com	101.227.131.64
3g.mail.qq.com	183.57.48.35
3g.music.qq.com	183.3.226.59
3g.photo.qq.com	14.18.245.169
3g.tech.qq.com	61.151.166.139, 61.151.166.146
3g.y.qq.com	180.153.100.249, 180.153.105.148, 180.153.105.151, 180.153.105.158, 180.153.105.166, 180.153.105.172, 180.153.105.254
3g.z.qq.com	61.151.168.204
4.4g.qq.com	61.151.168.204
3g.zg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
3g.v.qq.com	180.153.100.249, 180.153.105.148, 180.153.105.151, 180.153.105.158, 180.153.105.166, 180.153.105.172, 180.153.105.254
4.114.qq.com	183.3.225.108
4.3g.qq.com	61.151.168.204
4.act.qq.com	101.226.211.171
4.b.qq.com	183.61.38.179
4.bz.qq.com	61.151.166.139, 61.151.166.146
4.docs.qq.com	61.129.7.26
4.exmail.qq.com	14.17.42.118, 59.37.96.29
4.fm.qq.com	101.226.76.191
4.lady.qq.com	180.163.26.39
4.ke.qq.com	14.17.41.213
4.jy.qq.com	61.151.168.204
4.m.qq.com	101.227.131.64
4.mail.qq.com	14.17.19.106
4.photo.qq.com	14.18.245.169
4.zg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
4.z.qq.com	61.151.168.204
5.3g.qq.com	61.151.168.204
5.114.qq.com	183.3.225.108
5.4g.qq.com	61.151.168.204
5.act.qq.com	101.226.211.171
5.b.qq.com	183.61.38.179
5.bz.qq.com	61.151.166.139, 61.151.166.146
5.docs.qq.com	61.129.7.26
5.exmail.qq.com	14.17.42.118, 59.37.96.29
5.fm.qq.com	101.226.76.191
5.ke.qq.com	14.17.41.213
5.lady.qq.com	180.163.26.39
5.jy.qq.com	61.151.168.204
5.m.qq.com	101.227.131.64
5.mail.qq.com	14.17.19.106
5.photo.qq.com	14.18.245.169
5.z.qq.com	61.151.168.204
6.114.qq.com	183.3.225.108
6.3g.qq.com	61.151.168.204
5.zg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
6.act.qq.com	101.226.211.171
6.4g.qq.com	61.151.168.204
6.b.qq.com	183.61.38.179
6.bz.qq.com	61.151.166.139, 61.151.166.146
6.docs.qq.com	61.129.7.26
6.exmail.qq.com	14.17.42.118, 59.37.96.29
6.fm.qq.com	101.226.76.191
6.ke.qq.com	14.17.41.213
6.mail.qq.com	14.17.19.106
6.lady.qq.com	180.163.26.39
6.jy.qq.com	61.151.168.204
6.m.qq.com	101.227.131.64
6.photo.qq.com	14.18.245.169
7.114.qq.com	183.3.225.108
6.z.qq.com	61.151.168.204
7.4g.qq.com	61.151.168.204
7.act.qq.com	101.226.211.171
7.3g.qq.com	61.151.168.204
7.b.qq.com	183.61.38.179
6.zg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
7.bz.qq.com	61.151.166.139, 61.151.166.146
7.docs.qq.com	61.129.7.26
7.exmail.qq.com	14.17.42.118, 59.37.96.29
7.fm.qq.com	101.226.76.191
7.ke.qq.com	14.17.41.213
7.lady.qq.com	180.163.26.39
7.m.qq.com	101.227.131.64
7.mail.qq.com	14.17.19.106
7.jy.qq.com	61.151.168.204
7.photo.qq.com	14.18.245.169
8.114.qq.com	183.3.225.108
8.3g.qq.com	61.151.168.204
8.act.qq.com	101.226.211.171
7.z.qq.com	61.151.168.204
8.4g.qq.com	61.151.168.204
7.zg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
8.b.qq.com	183.61.38.179
8.bz.qq.com	61.151.166.139, 61.151.166.146
8.docs.qq.com	61.129.7.26
8.exmail.qq.com	14.17.42.118, 59.37.96.29
8.fm.qq.com	101.226.76.191
8.ke.qq.com	14.17.41.213
8.lady.qq.com	180.163.26.39
8.m.qq.com	101.227.131.64
8.mail.qq.com	14.17.19.106
8.jy.qq.com	61.151.168.204
8.photo.qq.com	14.18.245.169
8.zg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
8.z.qq.com	61.151.168.204
9.114.qq.com	183.3.225.108
9.act.qq.com	101.226.211.171
9.3g.qq.com	61.151.168.204
9.4g.qq.com	61.151.168.204
9.b.qq.com	183.61.38.179
9.bz.qq.com	61.151.166.139, 61.151.166.146
9.exmail.qq.com	14.17.42.118, 59.37.96.29
9.fm.qq.com	101.226.76.191
9.docs.qq.com	61.129.7.26
9.lady.qq.com	180.163.26.39
9.ke.qq.com	14.17.41.213
9.jy.qq.com	61.151.168.204
9.mail.qq.com	14.17.19.106
9.m.qq.com	101.227.131.64
9.photo.qq.com	14.18.245.169
9.z.qq.com	61.151.168.204
9.zg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
a.114.qq.com	183.3.225.108
a.108.qq.com	101.226.103.125
a.4g.qq.com	61.151.168.204
a.app.qq.com	101.227.131.64
a.act.qq.com	101.226.211.171
a.b.qq.com	183.61.38.179
a.bz.qq.com	61.151.166.139, 61.151.166.146
a.docs.qq.com	61.129.7.26
a.exmail.qq.com	14.17.42.118, 59.37.96.29
a.fm.qq.com	101.226.76.191
a.jy.qq.com	61.151.168.204
a.ke.qq.com	14.17.41.213
a.lady.qq.com	180.163.26.39
a.m.qq.com	101.227.131.64
a.map.qq.com	101.227.143.10, 180.163.25.36
a.photo.qq.com	14.18.245.169
a.weixin.qq.com	101.226.212.191, 101.227.162.121, 180.163.21.166, 180.163.26.36
a.z.qq.com	61.151.168.204
activity.3g.qq.com	61.151.168.204
activity.114.qq.com	183.3.225.108
activity.4g.qq.com	61.151.168.204
activity.act.qq.com	101.226.211.171
activity.b.qq.com	183.61.38.179
activity.baike.qq.com	101.226.211.232, 101.226.211.233
activity.auto.qq.com	14.17.41.220
activity.book.qq.com	61.151.186.106
a.zg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
activity.docs.qq.com	61.129.7.26
activity.exmail.qq.com	14.17.42.118, 59.37.96.29
activity.bz.qq.com	61.151.166.139, 61.151.166.146
activity.fm.qq.com	101.226.76.191
activity.ke.qq.com	14.17.41.213
activity.jy.qq.com	61.151.168.204
activity.m.qq.com	101.227.131.64
activity.lady.qq.com	180.163.26.39
activity.mail.qq.com	14.17.19.106
activity.photo.qq.com	14.18.245.169
activity.reader.qq.com	180.163.25.25
activity.video.qq.com	14.215.138.23
activity.vip.qq.com	61.129.7.52
activity.v.qq.com	115.231.191.148, 115.231.229.109, 115.231.229.52, 122.225.36.49, 122.225.36.51, 122.228.0.167, 122.228.0.168, 122.228.0.169, 122.228.0.170, 122.246.6.207, 122.246.6.248
adm.114.qq.com	183.3.225.108
activity.z.qq.com	61.151.168.204
adm.3g.qq.com	61.151.168.204
adm.act.qq.com	101.226.211.171
adm.4g.qq.com	61.151.168.204
adm.b.qq.com	183.61.38.179
activity.zg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
adm.bz.qq.com	61.151.166.139, 61.151.166.146
adm.docs.qq.com	61.129.7.26
adm.exmail.qq.com	14.17.42.118, 59.37.96.29
adm.fm.qq.com	101.226.76.191
adm.jy.qq.com	61.151.168.204
adm.ke.qq.com	14.17.41.213
adm.lady.qq.com	180.163.26.39
adm.mail.qq.com	14.17.19.106
adm.m.qq.com	101.227.131.64
adm.photo.qq.com	14.18.245.169
adm.z.qq.com	61.151.168.204
admin.3g.qq.com	61.151.168.204
admin.114.qq.com	183.3.225.108
admin.4g.qq.com	61.151.168.204
admin.act.qq.com	101.226.211.171
admin.b.qq.com	183.61.38.179
admin.bz.qq.com	61.151.166.139, 61.151.166.146
admin.docs.qq.com	61.129.7.26
admin.exmail.qq.com	14.17.42.118, 59.37.96.29
admin.fm.qq.com	101.226.76.191
adm.zg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
admin.ke.qq.com	14.17.41.213
admin.lady.qq.com	180.163.26.39
admin.jy.qq.com	61.151.168.204
admin.m.qq.com	101.227.131.64
admin.mail.qq.com	14.17.19.106
admin.mall.qq.com	101.89.15.169
admin.nr.qq.com	180.163.21.169
admin.sports.qq.com	118.25.167.157
admin.tourism.qq.com	49.51.20.109
admin.wj.qq.com	9.138.67.46
adminht.114.qq.com	183.3.225.108
admin.z.qq.com	61.151.168.204
adminht.3g.qq.com	61.151.168.204
adminht.4g.qq.com	61.151.168.204
adminht.act.qq.com	101.226.211.171
adminht.b.qq.com	183.61.38.179
adminht.bz.qq.com	61.151.166.139, 61.151.166.146
adminht.docs.qq.com	61.129.7.26
adminht.exmail.qq.com	14.17.42.118, 59.37.96.29
admin.zg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
adminht.fm.qq.com	101.226.76.191
adminht.ke.qq.com	14.17.41.213
adminht.jy.qq.com	61.151.168.204
adminht.lady.qq.com	180.163.26.39
adminht.m.qq.com	101.227.131.64
adminht.mail.qq.com	14.17.19.106
adminht.photo.qq.com	14.18.245.169
adminht.z.qq.com	61.151.168.204
api.114.qq.com	183.3.225.108
adminht.zg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
api.3g.qq.com	61.151.168.204
api.4g.qq.com	61.151.168.204
api.ac.qq.com	101.227.130.47
api.act.qq.com	101.226.211.171
api.ai.qq.com	101.227.131.64
api.b.qq.com	183.57.48.69
api.app.qq.com	101.227.160.45, 61.151.168.159
api.ah.qq.com	180.163.26.39
api.bm.qq.com	123.206.40.39
api.bz.qq.com	61.151.166.139, 61.151.166.146
api.campus.qq.com	140.143.213.116
api.city.qq.com	183.232.88.215
api.cd.qq.com	183.232.88.215
api.cq.qq.com	183.232.88.215
api.doctor.qq.com	101.227.160.45, 61.151.168.159
api.e.qq.com	101.226.90.189
api.docs.qq.com	61.129.7.26
api.exmail.qq.com	183.57.48.35
api.fm.qq.com	101.226.76.191
api.fj.qq.com	183.232.88.215
api.helper.qq.com	183.3.225.110
api.hb.qq.com	183.232.88.215
api.hope.qq.com	101.226.211.214
api.hg.qq.com	101.226.90.186
api.house.qq.com	61.151.166.139, 61.151.166.146
api.idea.qq.com	180.163.21.176
api.jia.qq.com	113.96.208.70
api.jy.qq.com	61.151.168.204
api.ke.qq.com	14.17.41.213
api.js.qq.com	183.232.88.215
api.m.qq.com	101.227.131.64
api.lady.qq.com	180.163.26.39
api.mam.qq.com	14.215.138.81
api.ln.qq.com	183.232.88.215
api.mp.qq.com	219.133.60.231
api.om.qq.com	101.226.211.231
api.news.qq.com	123.151.176.37
api.open.qq.com	101.227.160.45, 61.151.168.159
api.pg.qq.com	113.96.208.220
api.p.qq.com	14.17.42.27
api.q.qq.com	101.226.211.214
api.photo.qq.com	123.151.148.35
api.scan.qq.com	101.226.211.232, 101.226.211.233
api.t.qq.com	101.89.15.177
api.studio.qq.com	113.96.12.76
api.soho.qq.com	101.227.131.64
api.sd.qq.com	183.232.88.215
api.sh.qq.com	183.232.88.215
api.story.qq.com	61.151.206.31
api.time.qq.com	180.163.26.39
api.tg.qq.com	183.61.46.178
api.tuan.qq.com	116.62.226.58
api.uni.qq.com	59.37.97.24
api.vip.qq.com	183.57.48.23
api.weixin.qq.com	101.226.212.27, 101.227.162.120
api.vm.qq.com	101.226.233.186
api.z.qq.com	61.151.168.204
api.xy.qq.com	117.144.244.32
api.xian.qq.com	183.232.88.215
api.yun.qq.com	193.112.232.117
api.zb.qq.com	101.91.63.190
app.4g.qq.com	61.151.168.204
api.zj.qq.com	183.232.88.215
app.114.qq.com	183.3.225.108
app.3g.qq.com	61.151.168.204
app.b.qq.com	183.61.38.179
app.bz.qq.com	123.151.79.44
api.zg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
app.data.qq.com	123.151.190.181
app.docs.qq.com	61.129.7.26
app.exmail.qq.com	14.17.42.118, 59.37.96.29
app.fm.qq.com	101.226.76.191
app.go.qq.com	183.61.38.181
app.happy.qq.com	101.227.160.29
app.jy.qq.com	61.151.168.204
app.ke.qq.com	14.17.41.213
app.map.qq.com	101.227.143.10, 180.163.25.36
app.ln.qq.com	180.163.26.39
app.mail.qq.com	113.96.200.114, 59.37.96.108
app.m.qq.com	101.227.131.64
app.open.qq.com	101.227.160.45, 61.151.168.159
app.om.qq.com	101.226.211.231
app.photo.qq.com	123.151.148.35
app.p.qq.com	183.61.38.180, 59.37.116.110
app.pay.qq.com	180.163.26.30, 61.151.206.109
app.sports.qq.com	123.151.92.118
app.z.qq.com	61.151.168.204
apps.3g.qq.com	61.151.168.204
apps.act.qq.com	101.226.211.171
apps.114.qq.com	183.3.225.108
apps.4g.qq.com	61.151.168.204
apps.b.qq.com	183.61.38.179
apps.bz.qq.com	61.151.166.139, 61.151.166.146
apps.docs.qq.com	61.129.7.26
apps.exmail.qq.com	14.17.42.118, 59.37.96.29
apps.game.qq.com	180.163.15.188, 180.163.26.100
apps.fm.qq.com	101.226.76.191
apps.idata.qq.com	101.226.211.183
apps.jy.qq.com	61.151.168.204
apps.ke.qq.com	14.17.41.213
apps.lady.qq.com	180.163.26.39
apps.m.qq.com	101.227.131.64
apps.mail.qq.com	14.17.19.106
apps.photo.qq.com	14.18.245.169
apps.sports.qq.com	180.163.26.39
apps.t.qq.com	101.89.15.177
apps.z.qq.com	61.151.168.204
assets.3g.qq.com	61.151.168.204
apps.zg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
assets.114.qq.com	183.3.225.108
assets.4g.qq.com	61.151.168.204
assets.b.qq.com	183.61.38.179
assets.bz.qq.com	61.151.166.139, 61.151.166.146
assets.city.qq.com	139.199.92.101
assets.docs.qq.com	61.129.7.26
assets.act.qq.com	101.226.211.171
assets.exmail.qq.com	14.17.42.118, 59.37.96.29
assets.fm.qq.com	101.226.76.191
assets.ke.qq.com	14.17.41.213
assets.jy.qq.com	61.151.168.204
assets.lady.qq.com	180.163.26.39
assets.m.qq.com	101.227.131.64
assets.mail.qq.com	14.17.19.106
assets.photo.qq.com	14.18.245.169
assets.z.qq.com	61.151.168.204
auth.114.qq.com	183.3.225.108
auth.3g.qq.com	61.151.168.204
auth.4g.qq.com	61.151.168.204
assets.zg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
auth.b.qq.com	183.61.38.179
auth.act.qq.com	101.226.211.171
auth.bz.qq.com	61.151.166.139, 61.151.166.146
auth.docs.qq.com	61.129.7.26
auth.exmail.qq.com	14.17.42.118, 59.37.96.29
auth.fm.qq.com	101.226.76.191
auth.jy.qq.com	61.151.168.204
auth.lady.qq.com	180.163.26.39
auth.ke.qq.com	14.17.41.213
auth.m.qq.com	101.227.131.64
auth.photo.qq.com	14.18.245.169
auth.om.qq.com	101.226.211.231
auth.z.qq.com	61.151.168.204
autodiscover.114.qq.com	183.3.225.108
autodiscover.4g.qq.com	61.151.168.204
autodiscover.3g.qq.com	61.151.168.204
autodiscover.act.qq.com	101.226.211.171
autodiscover.b.qq.com	183.61.38.179
auth.zg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
